link,listed,address,price,bedrooms,bathrooms,area (m2),latitude,longitude
https://www.realestate.co.nz/42724443/residential/sale/lots-1-44-the-crest-aotea,yesterday,"Lots 1-44 The Crest, Aotea","$275,000",,,11420.0,,
https://www.realestate.co.nz/42724436/residential/sale/29-the-track-plimmerton,yesterday,"29 The Track, PLIMMERTON","Enquiries Over $1,177,000",5.0,3.0,530.0,,
https://www.realestate.co.nz/42724419/residential/sale/102a-homebush-road-khandallah,yesterday,"102A Homebush Road, Khandallah",Tender,4.0,2.0,495.0,,
https://www.realestate.co.nz/42724376/residential/sale/21-weka-street-miramar,yesterday,"21 Weka Street, Miramar",Auction,4.0,3.0,521.0,,
https://www.realestate.co.nz/42724356/residential/sale/45-ahuriri-street-strathmore-park,yesterday,"45 Ahuriri Street, Strathmore Park",Auction,4.0,2.0,603.0,,
https://www.realestate.co.nz/42724355/residential/sale/102b-miro-street-trentham,yesterday,"102b Miro Street, Trentham","Offers Over $699,000",3.0,1.0,101.0,,
https://www.realestate.co.nz/42724354/residential/sale/102a-miro-street-trentham,yesterday,"102a Miro Street, Trentham","Offers Over $699,000",3.0,1.0,153.0,,
https://www.realestate.co.nz/42724326/residential/sale/25-angus-way-nikau-valley,yesterday,"25 Angus Way, Nikau Valley",Deadline Sale,4.0,2.0,10700.0,,
https://www.realestate.co.nz/42724297/residential/sale/130a-kamahi-street-stokes-valley,2 days ago,"130a Kamahi Street, Stokes Valley",Deadline Sale,3.0,3.0,,,
https://www.realestate.co.nz/42724292/residential/sale/115-endeavour-drive-whitby,2 days ago,"115 Endeavour Drive, Whitby",Deadline Sale,4.0,2.0,779.0,,
https://www.realestate.co.nz/42724284/residential/sale/1-bailey-grove-trentham,2 days ago,"1 Bailey Grove, Trentham",Deadline Sale,4.0,2.0,556.0,,
https://www.realestate.co.nz/42724282/residential/sale/24-kapanui-road-waikanae,2 days ago,"24 Kapanui Road, Waikanae",Tender,3.0,1.0,400.0,,
https://www.realestate.co.nz/42724278/residential/sale/75-rawhiti-road-pukerua-bay,2 days ago,"75 Rawhiti Road, Pukerua Bay",Deadline Sale,3.0,1.0,944.0,,
https://www.realestate.co.nz/42724275/residential/sale/52-spinnaker-drive-whitby,2 days ago,"52 Spinnaker Drive, Whitby",Deadline Sale,3.0,2.0,586.0,,
https://www.realestate.co.nz/42724262/residential/sale/7-fettes-crescent-seatoun,2 days ago,"7 Fettes Crescent, Seatoun",Auction,3.0,3.0,410.0,,
https://www.realestate.co.nz/42724257/residential/sale/69-pine-avenue-ebdentown,2 days ago,"69 Pine Avenue, Ebdentown",Auction,3.0,1.0,433.0,,
https://www.realestate.co.nz/42724252/residential/sale/26b-old-coach-road-johnsonville,2 days ago,"26B Old Coach Road, Johnsonville","Buyer Enquiry Over $790,000",3.0,1.0,417.0,,
https://www.realestate.co.nz/42724251/residential/sale/210-sydney-street-west-thorndon,2 days ago,"210 Sydney Street West, Thorndon",Tender,3.0,1.0,101.0,,
https://www.realestate.co.nz/42724245/residential/sale/20-te-ara-o-ripeka-wharawhara-petone,2 days ago,"20 Te Ara o Ripeka Wharawhara, Petone",Tender,3.0,3.0,,,
https://www.realestate.co.nz/42724238/residential/sale/28-nelson-avenue-aotea,2 days ago,"28 Nelson Avenue, Aotea",Auction,4.0,2.0,609.0,,
https://www.realestate.co.nz/42724231/residential/sale/82-farnham-street-mornington,2 days ago,"82 Farnham Street, Mornington",Auction,2.0,1.0,852.0,,
https://www.realestate.co.nz/42724224/residential/sale/2-mark-avenue-paparangi,2 days ago,"2 Mark Avenue, Paparangi",Auction,2.0,1.0,602.0,,
https://www.realestate.co.nz/42724218/residential/sale/5-tainui-street-raumati-beach,2 days ago,"5 Tainui Street, Raumati Beach",Deadline Sale,2.0,1.0,600.0,,
